System;Route;Banner;City;Root
gbna;A738;;;sct.a738
gbna;A739;;;sct.a739
gbna;A741;;;sct.a741
gbna;A743;;;sct.a743
gbna;A745;;;sct.a745
gbna;A746;;;sct.a746
gbna;A747;;;sct.a747
gbna;A749;;;sct.a749
gbna;A751;;;sct.a751
gbna;A752;;;sct.a752
gbna;A755;;;sct.a755
gbna;A756;;;sct.a756
gbna;A759;;;sct.a759
gbna;A760;;;sct.a760
gbna;A761;;;sct.a761
gbna;A762;;;sct.a762
gbna;A763;;;sct.a763
gbna;A766;;;sct.a766
gbna;A768;;;sct.a768
gbna;A770;;;sct.a770
gbna;A771;;;sct.a771
gbna;A772;;;sct.a772
gbna;A775;;;sct.a775
gbna;A779;;;sct.a779
gbna;A780;;;sct.a780
gbna;A781;;;sct.a781
gbna;A2000;;;eng.a2000
gbna;A2003;;;eng.a2003
gbna;A2004;;;eng.a2004
gbna;A2010;;;eng.a2010
gbna;A2011;;;eng.a2011
gbna;A2015;;;eng.a2015
gbna;A2016;;;eng.a2016
gbna;A2018;;;eng.a2018
gbna;A2021;;;eng.a2021
gbna;A2022;;;eng.a2022
gbna;A2023;;;eng.a2023
gbna;A2025;;;eng.a2025
gbna;A2026;;;eng.a2026
gbna;A2029;;;eng.a2029
gbna;A2030;;;eng.a2030
gbna;A2031;;;eng.a2031
gbna;A2032;;;eng.a2032
gbna;A2033;;;eng.a2033
gbna;A2034;;;eng.a2034
gbna;A2036;;;eng.a2036
gbna;A2037;;;eng.a2037
gbna;A2038;;;eng.a2038
gbna;A2040;;;eng.a2040
gbna;A2041;;;eng.a2041
gbna;A2042;;;eng.a2042
gbna;A2043;;;eng.a2043
gbna;A2044;;;eng.a2044
gbna;A2050;;;eng.a2050
gbna;A2052;;;eng.a2052
gbna;A2070;;;eng.a2070
gbna;A2100;;;eng.a2100
gbna;A2101;;;eng.a2101
gbna;A2102;;;eng.a2102
gbna;A2198;;;eng.a2198
gbna;A2199;;;eng.a2199
gbna;A2203;;;eng.a2203
gbna;A2204;;;eng.a2204
gbna;A2205;;;eng.a2205
gbna;A2206;;;eng.a2206
gbna;A2208;;;eng.a2208
gbna;A2209;;;eng.a2209
gbna;A2210;;;eng.a2210
gbna;A2211;;;eng.a2211
gbna;A2212;;;eng.a2212
gbna;A2213;;;eng.a2213
gbna;A2214;;;eng.a2214
gbna;A2215;;;eng.a2215
gbna;A2216;;;eng.a2216
