date;region;systemName;description;statusChange
2015-11-26;(UK) Great Britain;gbna1;Great Britain A Roads (Zone 1);preview
2015-11-26;(UK) Great Britain;gbna6;Great Britain A Roads (Zone 6);preview
2015-11-26;(UK) Great Britain;gbna8;Great Britain A Roads (Zone 8);preview
2015-11-26;(UK) Great Britain;gbna9;Great Britain A Roads (Zone 9);preview
2015-11-26;(USA) Colorado;usaco;Colorado State Highways;preview
2015-11-26;(USA) Indiana;usain;Indiana State Highways;preview
2015-11-26;(USA) Montana;usamt;Montana Primary State Highways;preview
2015-11-26;(USA) Nebraska;usanes;Nebraska State Links and Spurs;preview
2015-11-26;(USA) New Mexico;usanm;New Mexico State Highways;preview
2015-11-26;(USA) Texas;usatx;Texas State Highways;preview
2015-11-26;(USA) Texas;usatxl;Texas State Highway Loops;preview
2015-11-26;(USA) Texas;usatxs;Texas State Highway Spurs;preview
2015-11-26;(USA) Vermont;usavt;Vermont State Highways;preview
2015-11-26;(USA) Virginia;usava;Virginia State Highways;preview
2015-11-26;(USA) Wyoming;usawy;Wyoming State Highways;preview
2015-11-12;(USA) Utah;usaut;Utah State Highways;active
2015-08-23;Europe;eursf;Europe Select Named Motorways;active
2015-08-23;Italy;;Italy Select Named Motorways;merged
2015-08-23;Spain;;Spain Select Autonomous Community Motorways;merged
