code;name;country;continent;regionType
NCL;New Caledonia;FRA;OCE;Special Collectivity
ND;North Dakota;USA;NA;State
NE;Nebraska;USA;NA;State
NER;Niger;NER;AFR;Country
NFK;Norfolk Island;AUS;OCE;External Territory
NGA;Nigeria;NGA;AFR;Country
NH;New Hampshire;USA;NA;State
NIC;Nicaragua;NIC;NA;Country
NIR;Northern Ireland;GBR;EUR;Province
NIU;Niue;NZL;OCE;Associated Country
NJ;New Jersey;USA;NA;State
NL;Newfoundland and Labrador;CAN;NA;Province
NLD;Netherlands;NLD;EUR;Country
NM;New Mexico;USA;NA;State
NOR;Norway;NOR;EUR;Country
NPL;Nepal;NPL;ASI;Country
NRU;Nauru;NRU;OCE;Country
NS;Nova Scotia;CAN;NA;Province
NSW;New South Wales;AUS;OCE;State
NT;Northwest Territories;CAN;NA;Territory
NU;Nunavut;CAN;NA;Territory
NV;Nevada;USA;NA;State
NY;New York;USA;NA;State
NZL;New Zealand;NZL;OCE;Country
OCE;Oceania;OCE;OCE;Continent
OH;Ohio;USA;NA;State
OK;Oklahoma;USA;NA;State
OMN;Oman;OMN;ASI;Country
ON;Ontario;CAN;NA;Province
OR;Oregon;USA;NA;State
PA;Pennsylvania;USA;NA;State
PAK;Pakistan;PAK;ASI;Country
PAN;Panama;PAN;NA;Country
PCN;Pitcairn;GBR;OCE;Overseas Territory
PE;Prince Edward Island;CAN;NA;Province
PER;Peru;PER;SA;Country
PHL;Philippines;PHL;ASI;Country
PLW;Palau;PLW;OCE;Country
PNG;Papua New Guinea;PNG;OCE;Country
POL;Poland;POL;EUR;Country
PR;Puerto Rico;USA;NA;Territory
PRK;Korea (North);PRK;ASI;Country
PRT;Portugal;PRT;EUR;Country
PRY;Paraguay;PRY;SA;Country
PSE;Palestine;PSE;ASI;Country
PYF;French Polynesia;FRA;OCE;Overseas Collectivity
QAT;Qatar;QAT;ASI;Country
QC;Quebec;CAN;NA;Province
QLD;Queensland;AUS;OCE;State
REU;Reunion;FRA;AFR;Overseas Region
RI;Rhode Island;USA;NA;State
