route;Waypoint1;Waypoint2;Waypoint3;Error;Info
ago.rtr30;Poi;EN105_N;;VISIBLE_DISTANCE;17.56
ago.rtr30;Qui;EN110_N;;VISIBLE_DISTANCE;33.96
ago.rtr30;RenGra;LebaVie;;VISIBLE_DISTANCE;13.92
ago.rtr30;Rito;EN160/295;;VISIBLE_DISTANCE;134.14
ago.rtr30;+X905704;+X335777;+X413818;SHARP_ANGLE;150.48
ago.rtr30;+X918604;+X793059;+X397612;SHARP_ANGLE;136.82
al.us031;CarBlvd;;;VISIBLE_HIDDEN_COLOC;al.us280@+CarrBlvd
al.us280;5th/6thAve;;;VISIBLE_HIDDEN_COLOC;al.us031@+5th/6thAve
al.al050;Old280Rd;;;LACKS_GENERIC;
al.al126;AL126;;;LABEL_SELFREF;NO_SUFFIX
al.al126;AL126;AL126_E;;DUPLICATE_COORDS;(32.369817,-86.13948)
al.al210;US431_S;US231_S;;DUPLICATE_COORDS;(31.190575,-85.401567)
alb.a001;+X935790;+X557517;SH5;SHARP_ANGLE;153.23
alb.e851;+X935790;+X557517;SH5_W;SHARP_ANGLE;153.23
alb.sh003;+X308366;+X442244;+X749292;SHARP_ANGLE;149.42
alb.sh003;+X442244;+X749292;Shi;SHARP_ANGLE;161.85
alb.sh005;+X102970;+X502370;+X838937;SHARP_ANGLE;137.91
alb.sh005;+X371106;+X830222;+X833515;SHARP_ANGLE;146.87
alb.sh005;+X469349;+X793233;+X301183;SHARP_ANGLE;165.99
alb.sh005;+X570167;SH25;+X794448;SHARP_ANGLE;154.16
alb.sh005;+X708760;SH30;+X642669;SHARP_ANGLE;144.92
alb.sh005;+X710894;+X169882;+X371106;SHARP_ANGLE;141.12
alb.sh005;+X793233;+X301183;Piet;SHARP_ANGLE;141.98
alb.sh005;+X872353;+X102970;+X502370;SHARP_ANGLE;151.28
alb.sh005;Pet;+X894369;+X879951;SHARP_ANGLE;149.79
alb.sh005;RruQafaGur;+X570167;SH25;SHARP_ANGLE;159.83
alb.sh006;+X63;SuleKur;+X59;SHARP_ANGLE;153.13
alb.sh006;+X68;+X20;+X53;SHARP_ANGLE;136.95
alb.sh006;Fsh;+X65;+X99;SHARP_ANGLE;169.39
alb.sh006;RRuVra;+X48;IsmFeta;SHARP_ANGLE;147.06
alb.sh006;RruFul;Fsh;+X65;SHARP_ANGLE;172.91
alb.sh020;+X825112;+X462207;+X239245;SHARP_ANGLE;142.54
alb.sh020;Rra;+X825112;+X462207;SHARP_ANGLE;138.09
alb.sh021;+X808612;+X937583;The;SHARP_ANGLE;137.31
alb.sh036;SH6;Ura;+X421722;SHARP_ANGLE;139.38
alb.sh050;+X684613;+X940576;+X485518;SHARP_ANGLE;144.27
alb.sh050;+X946240;+X901311;+X960559;SHARP_ANGLE;145.72
alb.sh054;+X337426;+X906488;SH47;SHARP_ANGLE;137.70
alb.sh075;+X852637;+X349105;Rad;SHARP_ANGLE;136.86
and.cg002;+X01;+X02;+X03;SHARP_ANGLE;143.34
and.cg002;+X03;+X04;+X05;SHARP_ANGLE;142.43
and.cg002;+X04;+X05;CarSantJor;SHARP_ANGLE;167.17
and.cg002;CarSantJor;+X06;CarAbe;SHARP_ANGLE;146.38
and.cg002;CS280;+X01;+X02;SHARP_ANGLE;153.24
and.cg003;+X697332;+X668783;+X707528;SHARP_ANGLE;152.98
and.cs101;CG1;+X312751;CS102;SHARP_ANGLE;135.67
and.cs120;+X527990;+X764126;Nag;SHARP_ANGLE;139.25
and.cs120;+X826967;+X356395;Cer;SHARP_ANGLE;158.59
and.cs120;+X997833;+X826967;+X356395;SHARP_ANGLE;136.86
and.cs120;CS130;+X527990;+X764126;SHARP_ANGLE;140.80
and.cs130;+X249735;CS131_E;+X358927;SHARP_ANGLE;162.53
and.cs130;+X358927;+X404461;NatCota2000;SHARP_ANGLE;149.56
and.cs130;+X687662;NatCota1600;+X398858;SHARP_ANGLE;163.37
and.cs130;CS131_E;+X358927;+X404461;SHARP_ANGLE;157.75
and.cs130;CarLin;+X687662;NatCota1600;SHARP_ANGLE;167.65
and.cs130;NatCota1600;+X398858;+X249735;SHARP_ANGLE;147.66
and.cs131;+X205221;+X797109;+X742595;SHARP_ANGLE;163.66
and.cs131;+X233501;+X205221;+X797109;SHARP_ANGLE;164.26
and.cs131;+X341215;+X936316;+X702387;SHARP_ANGLE;158.80
and.cs131;+X367099;+X600977;+X341386;SHARP_ANGLE;172.82
and.cs131;+X600977;+X341386;+X779893;SHARP_ANGLE;157.72
and.cs131;+X702387;+X233501;+X205221;SHARP_ANGLE;157.24
and.cs131;+X742595;+X367099;+X600977;SHARP_ANGLE;162.47
and.cs131;+X797109;+X742595;+X367099;SHARP_ANGLE;167.23
and.cs131;+X936316;+X702387;+X233501;SHARP_ANGLE;157.45
and.cs131;Aix;+X341215;+X936316;SHARP_ANGLE;158.87
and.cs131;CS130_W;Aix;+X341215;SHARP_ANGLE;157.95
and.cs142;+X102788;CS144;CS600;SHARP_ANGLE;152.15
and.cs142;+X356412;+X909819;+X102788;SHARP_ANGLE;161.24
and.cs200;+X141764;CarEng;CampSer;SHARP_ANGLE;145.59
and.cs200;CG2;CS101;Sol;SHARP_ANGLE;157.66
and.cs200;Eng;+X141764;CarEng;SHARP_ANGLE;137.24
and.cs200;Sol;+X982753;Eng;SHARP_ANGLE;144.15
and.cs220;CS221;+X852986;CorEnc;SHARP_ANGLE;149.01
and.cs240;+X831391;+X889782;+X421580;SHARP_ANGLE;136.95
and.cs240;+X889782;+X421580;+X969521;SHARP_ANGLE;163.74
and.cs240;+X969521;+X981529;+X983428;SHARP_ANGLE;142.38
and.cs240;CG2;+X851499;+X831391;SHARP_ANGLE;166.02
and.cs310;+X167618;+X897515;CS210;SHARP_ANGLE;139.30
and.cs310;+X610437;+X167618;+X897515;SHARP_ANGLE;139.22
and.cs310;+X895984;+X610437;+X167618;SHARP_ANGLE;135.47
and.cs310;CG3;+X656488;+X217024;SHARP_ANGLE;136.22
and.cs310;CS335;Ori;+X701569;SHARP_ANGLE;144.96
and.cs340;+X226551;+X320204;CS240;SHARP_ANGLE;167.76
and.cs340;+X317536;+X226551;+X320204;SHARP_ANGLE;150.88
and.cs340;+X876727;CamiRed;+X320065;SHARP_ANGLE;148.74
and.cs340;CS345;+X876727;CamiRed;SHARP_ANGLE;148.38
and.cs340;CamiRed;+X320065;+X317536;SHARP_ANGLE;157.95
and.cs370;+X319965;+X288183;PorSor;SHARP_ANGLE;152.20
and.cs370;+X650194;+X319965;+X288183;SHARP_ANGLE;163.18
and.cs400;CG4;+X164924;CarComaCol;SHARP_ANGLE;150.60
and.cs420;CS420_E;CS420_W;;DUPLICATE_COORDS;(42.538169,1.494495)
and.cs430;CG4;+X235161;ColCol;SHARP_ANGLE;154.11
and.cs500;CG5;+X898962;PuiPiu;SHARP_ANGLE;166.81
and.cs510;+X395059;+X440300;MasRib;SHARP_ANGLE;166.76
and.cs520;CG5;+X875192;MirRocaSab;SHARP_ANGLE;149.42
and.cs610;+X411982;+X366021;Aix;SHARP_ANGLE;148.26
and.cs610;+X496962;+X411982;+X366021;SHARP_ANGLE;141.33
and.cs610;+X735643;+X496962;+X411982;SHARP_ANGLE;145.68
ar.ar004;AR159;AR4S;+X882717;SHARP_ANGLE;140.66
ar.ar007;US65Bus_S;US62/65_S;US62/65_N;SHARP_ANGLE;144.21
ar.ar008;AR375Men;US59/71_S;AR88_W;SHARP_ANGLE;152.98
ar.ar021;+X166839;+X991826;CR4501_S;SHARP_ANGLE;146.74
ar.ar021;AR818;+X166839;+X991826;SHARP_ANGLE;155.56
ar.ar054;LeeSprRd;US79_N;US79_S;SHARP_ANGLE;139.56
ar.ar074;AR7_N;AR7_S;+X596292;SHARP_ANGLE;138.24
ar.ar077;I-55(23);I-555(2);+X231574;SHARP_ANGLE;174.04
ar.ar103cla;+X111980;+X852018;+X763462;SHARP_ANGLE;146.80
ar.ar103cla;+X653247;+X111980;+X852018;SHARP_ANGLE;139.64
ar.ar103cla;+X763462;+X317567;CR4290;SHARP_ANGLE;141.75
ar.ar103cla;+X852018;+X763462;+X317567;SHARP_ANGLE;152.69
ar.ar163;AR14_E;AR14_W;+X568756;SHARP_ANGLE;139.39
ar.ar177;+X369615;QuaParkPt;+X673731;SHARP_ANGLE;139.09
ar.ar192;+X226521;+X446286;+X669618;SHARP_ANGLE;167.13
ar.ar221;US62_W;US62/21;FreSt;SHARP_ANGLE;154.84
ar.ar287;AR92;AR9_S;PinLn;SHARP_ANGLE;136.20
ar.ar296;4StaFairPkwy;US67_N;US67_S;SHARP_ANGLE;135.13
ar.ar309;+X370255;+X829658;+X226930;SHARP_ANGLE;149.75
ar.ar309;+X827306;+X370255;+X829658;SHARP_ANGLE;161.13
ar.ar309;MtMagRd;+X597622;+X404980;SHARP_ANGLE;147.76
ar.ar363;+X823756;+X926171;+X836075;SHARP_ANGLE;147.79
ar.us061;I-55(21);I-55(23);AR77_S;SHARP_ANGLE;143.44
ar.us270;AR51_E;I-30(98);I-30(99);SHARP_ANGLE;153.13
ar.grrark;AR159;AR4S;+X882717;SHARP_ANGLE;140.66
are.m005;AlHamAir;AlRuw_W;;VISIBLE_DISTANCE;11.68
are.m005;Bar;AlHamAir;;VISIBLE_DISTANCE;18.07
are.m007;137thSt;147thSt_E;;VISIBLE_DISTANCE;11.63
arg.rn003ush;+X279358;+X81;RN24CJ;SHARP_ANGLE;154.10
arg.rn040;+X324690;+X668523;+X800992;SHARP_ANGLE;140.75
arg.rn040;+X632435;+X677197;+X789538;SHARP_ANGLE;146.73
arg.rn040;+X633770;+X139357;+X466550;SHARP_ANGLE;140.23
arg.rn040;+X668523;+X800992;+X453977;SHARP_ANGLE;145.88
arg.rn040;+X798262;+X392323;+X909255;SHARP_ANGLE;140.81
arg.rn040;+X876228;+X726096;+X679186;SHARP_ANGLE;136.11
arg.rn040;AbraAcay;+X633770;+X139357;SHARP_ANGLE;164.65
arg.rn040;CerCha;+X218278;+X393424;SHARP_ANGLE;144.30
arg.rn051;+X196194;+X897905;+X322705;SHARP_ANGLE;160.28
arg.rn051;+X267236;+X106611;+X899590;SHARP_ANGLE;147.07
arg.rn052;+X406702;+X633619;+X295948;SHARP_ANGLE;152.89
arg.rn065;+X931092;+X326144;+X799837;SHARP_ANGLE;157.69
arg.rn076;+X974616;+X428648;+X417632;SHARP_ANGLE;149.89
arg.rn150;+X207648;+X652287;+X771451;SHARP_ANGLE;140.98
arg.rn150;+X343822;+X762192;+X128650;SHARP_ANGLE;136.18
arg.rn150;+X607809;+X343822;+X762192;SHARP_ANGLE;147.24
arg.rn150;+X634074;+X185570;+X839057;SHARP_ANGLE;142.48
arg.rn150;+X652287;+X771451;+X866273;SHARP_ANGLE;148.37
arg.rn150;+X702827;+X892724;+X960875;SHARP_ANGLE;173.03
arg.rn24cj;+X887353;+X824496;+X281460;SHARP_ANGLE;149.73
arg.rna014;RN40_W;RN40_E;;DUPLICATE_COORDS;(-31.554647,-68.514004)
arg.avcircor;1;RPE53;;DUPLICATE_COORDS;(-31.354113,-64.202685)
arm.ah082;+X817469;+X743184;+X500827;SHARP_ANGLE;168.26
arm.ah082;Ler;Kaj;+X284682;SHARP_ANGLE;157.89
arm.e117;+X817469;+X743184;+X500827;SHARP_ANGLE;168.26
arm.e117;Ler;Kaj;+X284682;SHARP_ANGLE;157.89
arm.m002;+X817469;+X743184;+X500827;SHARP_ANGLE;168.26
arm.m002;Ler;Kaj;+X284682;SHARP_ANGLE;157.89
arm.m010;+X183053;+X712171;+X960350;SHARP_ANGLE;145.14
arm.m010;+X208112;+X930888;+X273549;SHARP_ANGLE;149.64
arm.m010;+X568830;+X583869;+X824235;SHARP_ANGLE;147.26
arm.m010;+X583869;+X824235;+X233442;SHARP_ANGLE;158.09
arm.m010;+X590290;+X208112;+X930888;SHARP_ANGLE;160.34
arm.m010;+X712171;+X960350;+X568830;SHARP_ANGLE;156.19
arm.m010;+X872407;+X590290;+X208112;SHARP_ANGLE;154.91
arm.m010;+X930888;+X273549;+X631004;SHARP_ANGLE;147.59
arm.m010;+X960350;+X568830;+X583869;SHARP_ANGLE;147.77
arm.m017;+X175701;+X416905;+X491662;SHARP_ANGLE;157.69
arm.m017;+X288557;+X756798;+X334138;SHARP_ANGLE;158.52
arm.m017;+X359337;+X438082;+X410957;SHARP_ANGLE;153.01
arm.m017;+X376297;+X919970;+X694890;SHARP_ANGLE;151.80
arm.m017;+X410957;+X893957;+X626433;SHARP_ANGLE;159.23
arm.m017;+X416905;+X491662;+X662641;SHARP_ANGLE;160.52
arm.m017;+X773972;+X376297;+X919970;SHARP_ANGLE;161.32
arm.m017;+X928633;+X417561;+X764909;SHARP_ANGLE;158.59
arm.m017;H46;+X782784;+X912445;SHARP_ANGLE;141.04
as.as119;Aun_N;Aun_S;;DUPLICATE_COORDS;(-14.283317,-170.560673)
ausnsw.a006;+X447617;HeaRd_N;+X534804;SHARP_ANGLE;138.41
ausnsw.b071;+X255823;CorPeakRd;;LONG_SEGMENT;44.63
ausnsw.b071;CorPeakRd;ArtHallWay;;LONG_SEGMENT;31.79
ausnsw.b071;MurRd;+X716652;;LONG_SEGMENT;24.35
ausnsw.b075;+X176957;+X183508;;LONG_SEGMENT;29.43
ausnsw.b076;+X829910;+X881022;+X559051;SHARP_ANGLE;167.50
ausnsw.b076;+X881022;+X559051;+X429539;SHARP_ANGLE;159.13
ausnsw.b087;+X115724;+X599332;;LONG_SEGMENT;20.12
ausnsw.td003sof;UllRd;BeyAve;+X711524;SHARP_ANGLE;141.80
ausnsw.td004sof;UllRd;BeyAve;+X711524;SHARP_ANGLE;141.80
ausnsw.td014gra;A1;GinWay_S;+X914890;SHARP_ANGLE;152.01
ausnsw.td016;YelRockRd;GliWay_Uru;+X496834;SHARP_ANGLE;159.77
ausnt.a001;+x69;+x70;;LONG_SEGMENT;22.01
ausnt.a087;+X404615;C12;;LONG_SEGMENT;28.98
ausnt.a001;+x117;+x120;;LONG_SEGMENT;20.79
ausnt.a001;+x92;+x93;;LONG_SEGMENT;29.84
