country;state;viewid;name;lat;lon;radius;dimratio
USA;OH;0;Ohio;40.1904525;-82.6700095;123.5434440694;1.0881607934
USA;OK;0;Oklahoma;35.310848;-98.7171915;241.3320792901;0.4829578524
USA;OR;0;Oregon;44.146315;-120.5144065;200.7147503372;0.7408443981
USA;PA;0;Pennsylvania;40.995;-77.62;151.2570168344;0.582611734
USA;PR;0;Puerto Rico;18.214246;-66.2692295;65.8388518358;0.3171957443
USA;RI;0;Rhode Island;41.6609875;-71.5035545;24.7482695942;1.2507487038
USA;SC;0;South Carolina;33.6187245;-80.9475975;138.5105961612;0.78916939
USA;SD;0;South Dakota;44.212496;-100.253253;188.1099290634;0.6364303441
USA;TN;0;Tennessee;35.8371305;-85.978663;242.359634128;0.2396939774
USA;TX;0;Texas;31.1685915;-100.0767845;386.6671058972;0.9491380796
USA;UT;0;Utah;39.496396;-111.543471;172.5689376477;1.2955840579
USA;VA;0;Virginia;38.0000535;-79.458705;229.365423734;0.4413318004
USA;VT;0;Vermont;43.8706635;-72.4480925;79.0987703609;1.6140146821
USA;WA;0;Washington;47.275227;-120.833746;183.3271508307;0.6508286829
USA;WI;0;Wisconsin;44.7850765;-89.826841;158.4348997916;1.0548546257
USA;WV;0;West Virginia;38.9201735;-80.1817065;132.4389728197;0.8970673849
USA;WY;0;Wyoming;43.001364;-107.554222;176.8678644406;0.781339247
UZB;ALL;0;Uzbekistan;41.3855985;64.5744335;441.4504669647;0.6547204938
RUS;RUS-AD;0;Adygeya;44.475;39.725;50.5832513386;0.991282232
RUS;RUS-AST;0;Astrakhan;46.65;47.075;152.0561154252;1.5083616425
RUS;RUS-BA;0;Bashkortostan;54.075;56.675;177.9262111378;1.300867588
RUS;RUS-BEL;0;Belgorod;50.625;37.3;87.7265060035;0.6503064906
RUS;RUS-BRY;0;Bryansk;52.925;33.3;85.449928714;0.9104188632
RUS;RUS-CE;0;Chechnya;43.25;45.725;55.3285248767;1.1874203391
RUS;RUS-CHE;0;Chelyabinsk;54.2;60.225;152.0561154252;1.2038986472
RUS;RUS-CU;0;Chuvashia;55.475;45.15;133.1574272475;0.4542538544
RUS;RUS-DA;0;Dagestan;43.075;46.85;133.0721005474;1.5060089241
RUS;RUS-IN;0;Ingushetia;43.125;44.925;36.3113596773;1.692506122
RUS;RUS-KB;0;Kabardino-Balkaria;43.45;43.45;52.7184157484;0.7871398599
RUS;RUS-KDA;0;Krasnodar;45.125;39.175;125.5805464132;0.977145251
RUS;RUS-KGD;0;Kaliningrad;54.8;21.275;64.7748198201;0.5338351921
RUS;RUS-KGN;0;Kurgan;55.5;65.4;131.1197509072;0.7117526315
RUS;RUS-KL;0;Kalmykia;46.45;44.65;142.8390980163;0.8710524751
RUS;RUS-KLU;0;Kaluga;54.3;35.35;78.6804163891;0.9228655976
RUS;RUS-KR;0;Karelia;63.675;33.6;208.9398375216;1.5693318076
RUS;RUS-KRS;0;Kursk;51.675;36.325;95.3926848688;0.5617746901
RUS;RUS-LEN;0;Leningrad;59.85;31.625;136.195738374;0.7359513419
RUS;RUS-LIP;0;Lipetsk;52.75;39.275;63.8335201088;0.9209058164
RUS;RUS-MO;0;Mordovia;54.425;44.45;92.5089226511;0.579296787
RUS;RUS-MOS;0;Moskva;55.6;37.675;98.6178676355;0.9465532171
RUS;RUS-MOW;0;Moskva (Gorod);55.75;37.575;20.7499350381;1.2542299135
RUS;RUS-MUR;0;Murmansk;67.975;34.9;168.137973443;0.8117289458
RUS;RUS-NGR;0;Novgorod;58.175;32.925;121.1695435799;0.7274697388
RUS;RUS-NIZ;0;Nizhegorod;56.275;44.775;126.1664726194;1.0869808217
RUS;RUS-OMS;0;Omsk;56;73.375;179.6501076429;1.5900673899
RUS;RUS-ORE;0;Orenburg;52.425;56.225;230.3140528569;0.57713235
RUS;RUS-ORL;0;Oryol;52.775;36.45;69.0237371486;0.8766881326
RUS;RUS-PER;0;Perm;58.9;56.6;193.4375012712;1.8698108998
RUS;RUS-PNZ;0;Penza;53.175;44.525;102.5514190325;0.5899596328
RUS;RUS-PSK;0;Pskov;57.3;29.4;120.9864914093;1.542768025
RUS;RUS-ROS;0;Rostov;48.075;41.275;150.3307105433;1.0588901944
RUS;RUS-RYA;0;Ryazan';54.35;40.65;80.5984980549;0.9008944874
RUS;RUS-SAM;0;Samara;53.225;50.225;101.9881076374;1.0598759628
RUS;RUS-SAR;0;Saratov;51.325;46.675;180.1712558103;0.5848383815
