state;Name;Pop.;latitude;longitude
CT;Bristol city;60062;41.682249;-72.933656
MI;Royal Oak city;60062;42.504568;-83.150606
CA;Monterey Park city;60051;34.049199;-118.135561
FL;Delray Beach city;60020;26.459101;-80.083038
CA;Elk Grove CDP;59984;38.438222;-121.381925
CA;Chico city;59954;39.739983;-121.835460
FL;North Miami city;59880;25.895022;-80.185747
IN;Anderson city;59734;40.100041;-85.681525
TN;Jackson city;59643;35.633132;-88.820805
IN;Terre Haute city;59614;39.469586;-87.389762
SD;Rapid City city;59607;44.076188;-103.228299
FL;Fountainbleau CDP;59549;25.770144;-80.345917
WI;Janesville city;59498;42.684110;-89.016654
FL;Carol City CDP;59443;25.942121;-80.269920
FL;Palm Harbor CDP;59248;28.083926;-82.753947
MA;Waltham city;59226;42.380596;-71.235005
MN;St. Cloud city;59107;45.556833;-94.172499
CA;La Habra city;58974;33.929313;-117.951718
MA;Haverhill city;58969;42.778090;-71.084916
CA;Yorba Linda city;58918;33.886014;-117.789089
CA;Hemet city;58812;33.742001;-116.983068
GA;Marietta city;58748;33.953353;-84.540614
IL;Des Plaines city;58720;42.033848;-87.899786
CA;Lake Forest city;58707;33.641642;-117.690733
CA;Palo Alto city;58598;37.429289;-122.138162
UT;Layton city;58474;41.077919;-111.955328
IA;Council Bluffs city;58268;41.253698;-95.862388
MI;Dearborn Heights city;58264;42.310987;-83.287521
CT;Meriden city;58244;41.532965;-72.799649
WA;Lakewood city;58211;47.163920;-122.526008
AR;Fayetteville city;58047;36.076379;-94.160912
CA;Encinitas city;58014;33.044442;-117.271694
TX;Port Arthur city;57755;29.884864;-93.939902
CA;Gardena city;57746;33.893615;-118.307841
AL;Dothan city;57737;31.227225;-85.407258
VA;Burke CDP;57737;38.781480;-77.270750
CA;Temecula city;57716;33.503295;-117.123687
MD;Wheaton-Glenmont CDP;57694;39.053658;-77.059071
IA;Dubuque city;57686;42.504321;-90.686865
FL;Lauderhill city;57585;26.165679;-80.232589
TX;Harlingen city;57564;26.192203;-97.696275
OH;Kettering city;57502;39.697326;-84.152314
UT;Taylorsville city;57439;40.654930;-111.949454
CA;Castro Valley CDP;57292;37.703796;-122.079384
TX;Galveston city;57247;29.281137;-94.825945
MA;Brookline CDP;57107;42.330664;-71.133640
CA;Camarillo city;57077;34.225607;-119.032207
MT;Missoula city;57053;46.862633;-114.011593
CA;Lodi city;56999;38.128751;-121.280926
CA;Tracy city;56929;37.737979;-121.433857
FL;Kendale Lakes CDP;56901;25.708464;-80.411610
CA;Pittsburg city;56769;38.015021;-121.892491
MT;Great Falls city;56690;47.503657;-111.286299
OH;Lakewood city;56646;41.480881;-81.800360
NY;Hempstead village;56554;40.704962;-73.617363
LA;Bossier City city;56461;32.517651;-93.691397
VA;Reston CDP;56407;38.954577;-77.346357
MD;Ellicott City CDP;56397;39.269257;-76.830545
IN;Lafayette city;56397;40.410585;-86.874681
PA;Lancaster city;56348;40.039860;-76.304366
MA;Malden city;56340;42.428549;-71.060597
