country;state;Name;Pop.;latitude;longitude
LBR;ALL;Monrovia;1144018;6.31;-10.8
JOR;ALL;Ammān;1135733;31.95;35.93
RUS;ALL;Omsk;1132843;55;73.4
GEO;ALL;Tbilisi;1131618;41.72;44.79
RUS;ALL;Samara;1129593;53.2;50.15
NGA;ALL;Abuja;1129345;9.06;7.49
IND;ALL;Aurangābād;1127755;19.89;75.32
BGR;ALL;Sofia;1125858;42.69;23.31
RUS;ALL;Kazan;1116930;55.75;49.13
MEX;MEX-NL;Monterrey;1116821;25.67;-100.32
ZAF;ALL;Port Elizabeth;1112768;-33.96;25.59
IND;ALL;Navi Mumbai;1110110;19.11;73.06
MOZ;ALL;Maputo;1109798;-25.95;32.57
IND;ALL;Allahābād;1107072;25.45;81.84
BRA;ALL;Campinas;1095220;-22.91;-47.08
IND;ALL;Sholāpur;1094553;17.67;75.89
IRQ;ALL;Irbīl;1091636;36.18;44.01
RUS;ALL;Chelyabinsk;1091540;55.15;61.43
VEN;ALL;Barquisimeto;1085483;10.05;-69.3
DNK;ALL;København;1082884;55.67;12.58
CHN;ALL;Xianyang;1079300;34.37;108.7
CHN;ALL;Baoding;1076288;38.87;115.48
GTM;ALL;Guatemala;1074410;14.63;-90.55
BRA;ALL;Maceió;1073565;-9.65;-35.75
BRA;ALL;Nova Iguaçu;1068293;-22.74;-43.47
CHN;ALL;Kunming;1067557;25.05;102.7
NGA;ALL;Maiduguri;1065429;11.85;13.16
CHN;ALL;Datong;1059877;40.08;113.3
IRL;ALL;Dublin;1058265;53.33;-6.25
RUS;ALL;Rostov-na-Donu;1050936;47.24;39.71
IND;ALL;Jabalpur;1050875;23.17;79.94
IND;ALL;Visakhapatnam;1050380;17.73;83.3
UKR;ALL;Dnipropetrovs'k;1046922;48.45;34.98
EGY;ALL;Shubra-El-Khema;1045370;30.11;31.25
IND;ALL;Srīnagar;1040263;34.09;74.79
CHN;ALL;Benxi;1040148;41.33;123.75
BEL;ALL;Brussels;1039942;50.83;4.33
