region;route;root;signage
WLS;A488;wls.a0488;non-primary
ENG;A488;eng.a0488bis;non-primary
WLS;A488;wls.a0488bis;non-primary
ENG;A488;eng.a0488;non-primary
WLS;A489;wls.a0489;both
ENG;A489;eng.a0489pen;non-primary
WLS;A489;wls.a0489chu;non-primary
ENG;A489;eng.a0489;non-primary
WLS;A490;wls.a0490chu;non-primary
ENG;A490;eng.a0490;non-primary
WLS;A490;wls.a0490;both
ENG;A491;eng.a0491;primary
WLS;A493;wls.a0493;non-primary
WLS;A494;wls.a0494;primary
ENG;A494;eng.a0494;primary
WLS;A495;wls.a0495;non-primary
ENG;A495;eng.a0495;both
WLS;A495;wls.a0495bro;primary
WLS;A496;wls.a0496;non-primary
WLS;A497;wls.a0497;non-primary
WLS;A498;wls.a0498;non-primary
WLS;A499;wls.a0499;non-primary
ENG;A500;eng.a0500;primary
ENG;A501;eng.a0501;both
ENG;A502;eng.a0502;non-primary
ENG;A503;eng.a0503;both
ENG;A504;eng.a0504;non-primary
ENG;A505;eng.a0505;both
ENG;A505;eng.a0505tho;primary
ENG;A506;eng.a0506;non-primary
ENG;A507;eng.a0507;non-primary
ENG;A508;eng.a0508;primary
ENG;A509;eng.a0509;both
ENG;A510;eng.a0510;non-primary
ENG;A511;eng.a0511;primary
ENG;A512;eng.a0512;non-primary
ENG;A513;eng.a0513;both
ENG;A513;eng.a0513sta;primary
ENG;A514;eng.a0514;non-primary
ENG;A515;eng.a0515;primary
ENG;A516;eng.a0516;both
ENG;A517;eng.a0517;non-primary
ENG;A518;eng.a0518;both
ENG;A519;eng.a0519;non-primary
ENG;A520;eng.a0520;primary
ENG;A521;eng.a0521;non-primary
ENG;A522;eng.a0522;non-primary
ENG;A523;eng.a0523;primary
WLS;A525;wls.a0525;non-primary
WLS;A525;wls.a0525wre;both
ENG;A525;eng.a0525;both
ENG;A526;eng.a0526;non-primary
ENG;A527;eng.a0527;both
ENG;A528;eng.a0528;non-primary
WLS;A528;wls.a0528;non-primary
ENG;A529;eng.a0529;non-primary
ENG;A530;eng.a0530;both
ENG;A531;eng.a0531;non-primary
ENG;A532;eng.a0532;non-primary
ENG;A533;eng.a0533;both
WLS;A534;wls.a0534;both
ENG;A534;eng.a0534;both
ENG;A535;eng.a0535;non-primary
ENG;A536;eng.a0536;primary
ENG;A537;eng.a0537;primary
ENG;A538;eng.a0538;both
WLS;A539;wls.a0539;non-primary
ENG;A540;eng.a0540;non-primary
WLS;A541;wls.a0541;non-primary
WLS;A542;wls.a0542;non-primary
WLS;A543;wls.a0543;non-primary
WLS;A544;wls.a0544;non-primary
WLS;A545;wls.a0545;non-primary
WLS;A546;wls.a0546;non-primary
WLS;A547;wls.a0547;non-primary
WLS;A548;wls.a0548;non-primary
ENG;A548;eng.a0548;non-primary
WLS;A549;wls.a0549;non-primary
WLS;A550;wls.a0550;non-primary
ENG;A550;eng.a0550;primary
ENG;A551;eng.a0551;non-primary
ENG;A552;eng.a0552;both
ENG;A553;eng.a0553;non-primary
ENG;A554;eng.a0554;both
ENG;A555;eng.a0555;primary
ENG;A556;eng.a0556;primary
ENG;A557;eng.a0557;both
ENG;A558;eng.a0558;non-primary
ENG;A559;eng.a0559;non-primary
ENG;A559;eng.a0559los;non-primary
ENG;A560;eng.a0560;both
ENG;A561;eng.a0561;both
ENG;A562;eng.a0562;both
ENG;A563;eng.a0563;primary
ENG;A565;eng.a0565;both
ENG;A566;eng.a0566;non-primary
ENG;A567;eng.a0567;non-primary
ENG;A569;eng.a0569;non-primary
ENG;A570;eng.a0570;primary
ENG;A571;eng.a0571;non-primary
ENG;A572;eng.a0572;non-primary
ENG;A573;eng.a0573;non-primary
ENG;A574;eng.a0574;non-primary
ENG;A574;eng.a0574bir;non-primary
ENG;A575;eng.a0575;both
ENG;A575;eng.a0575bol;non-primary
ENG;A576;eng.a0576;both
ENG;A577;eng.a0577;both
ENG;A578;eng.a0578;non-primary
ENG;A579;eng.a0579;both
ENG;A580;eng.a0580;primary
ENG;A581;eng.a0581;non-primary
ENG;A582;eng.a0582;primary
ENG;A583;eng.a0583;both
ENG;A584;eng.a0584;non-primary
ENG;A585;eng.a0585;primary
ENG;A586;eng.a0586;non-primary
ENG;A587;eng.a0587;non-primary
ENG;A588;eng.a0588;non-primary
ENG;A589;eng.a0589;both
ENG;A590;eng.a0590;both
ENG;A591;eng.a0591;both
ENG;A592;eng.a0592;both
ENG;A593;eng.a0593;both
ENG;A594;eng.a0594;non-primary
ENG;A594;eng.a0594lei;non-primary
ENG;A595;eng.a0595;both
ENG;A596;eng.a0596;primary
ENG;A597;eng.a0597;non-primary
ENG;A598;eng.a0598;non-primary
ENG;A599;eng.a0599;non-primary
ENG;A600;eng.a0600;non-primary
ENG;A601;eng.a0601;non-primary
ENG;A602;eng.a0602;both
ENG;A602;eng.a0602ste;primary
ENG;A603;eng.a0603;non-primary
ENG;A603;eng.a0603cam;non-primary
ENG;A605;eng.a0605;both
ENG;A606;eng.a0606;both
ENG;A607;eng.a0607;both
ENG;A608;eng.a0608;non-primary
ENG;A609;eng.a0609;non-primary
ENG;A610;eng.a0610;both
ENG;A611;eng.a0611;non-primary
ENG;A612;eng.a0612;non-primary
ENG;A614;eng.a0614;both
ENG;A615;eng.a0615;non-primary
ENG;A616;eng.a0616;both
ENG;A617;eng.a0617;primary
ENG;A618;eng.a0618;non-primary
ENG;A619;eng.a0619;both
ENG;A620;eng.a0620;non-primary
ENG;A621;eng.a0621;both
ENG;A623;eng.a0623;primary
ENG;A624;eng.a0624;non-primary
ENG;A625;eng.a0625;non-primary
ENG;A626;eng.a0626;non-primary
ENG;A627;eng.a0627;both
ENG;A628;eng.a0628;primary
ENG;A629;eng.a0629rot;non-primary
ENG;A629;eng.a0629;primary
ENG;A630;eng.a0630;both
ENG;A631;eng.a0631;both
ENG;A632;eng.a0632;non-primary
ENG;A633;eng.a0633;both
ENG;A634;eng.a0634;non-primary
ENG;A635;eng.a0635;both
ENG;A636;eng.a0636;non-primary
ENG;A637;eng.a0637;primary
ENG;A638;eng.a0638;both
